idV,device,minV,maxV,diff,created
568198,pilot02,-1172.6685,-1011.9019,160.7666,2020-02-28 08:53:41.617
568212,pilot02,-1098.5107,-984.9243,113.5864,2020-02-28 08:55:56.493
568224,pilot02,-1204.5898,-1031.189,173.4008,2020-02-28 08:57:51.820
568236,pilot02,-1179.1382,-983.5815,195.5567,2020-02-28 08:59:47.403
568248,pilot02,-1093.6279,-987.7319,105.896,2020-02-28 09:01:42.553
568262,pilot02,-1184.5703,-983.5205,201.0498,2020-02-28 09:03:56.700
568274,pilot02,-1117.2485,-946.9604,170.2881,2020-02-28 09:05:51.250
568286,pilot02,-1158.9966,-974.4263,184.5703,2020-02-28 09:07:46.227
568298,pilot02,-1147.0337,-1040.2222,106.8115,2020-02-28 09:09:42.057
568312,pilot02,-1192.1387,-952.0874,240.0513,2020-02-28 09:11:57.357
568322,pilot02,-1111.6333,-1058.2275,53.4058,2020-02-28 09:13:34.433
568336,pilot02,-1133.3008,-933.2275,200.0733,2020-02-28 09:15:48.520
568348,pilot02,-1075.8057,-1022.644,53.1616999999999,2020-02-28 09:17:44.533
568362,pilot02,-1187.6831,-985.9009,201.7822,2020-02-28 09:19:58.497
568374,pilot02,-1161.2549,-997.2534,164.0015,2020-02-28 09:21:53.720
568386,pilot02,-1204.1016,-1051.4526,152.649,2020-02-28 09:23:51.550
568398,pilot02,-1142.7612,-955.9326,186.8286,2020-02-28 09:25:46.237
568410,pilot02,-1099.9756,-1009.6436,90.332,2020-02-28 09:27:41.650
568424,pilot02,-1165.1001,-1010.8643,154.2358,2020-02-28 09:29:55.747
568436,pilot02,-1139.3433,-1048.5229,90.8204000000001,2020-02-28 09:31:51.590
568449,pilot02,-1065.918,-980.2246,85.6933999999999,2020-02-28 09:33:48.307
568461,pilot02,-1184.7534,-979.126,205.6274,2020-02-28 09:35:42.767
568473,pilot02,-1102.6611,-949.5239,153.1372,2020-02-28 09:37:43.220
568485,pilot02,-1120.8496,-913.6963,207.1533,2020-02-28 09:39:57.037
568495,pilot02,-1153.5034,-993.7744,159.729,2020-02-28 09:41:52.650
568505,pilot02,-1105.2246,-1030.4565,74.7681,2020-02-28 09:43:46.637
568517,pilot02,-1087.2803,-1044.2505,43.0297999999998,2020-02-28 09:45:46.780
568529,pilot02,-1167.7856,-989.563,178.2226,2020-02-28 09:47:42.167
568543,pilot02,-1109.1309,-958.8013,150.3296,2020-02-28 09:49:58.397
568555,pilot02,-1169.7998,-905.3345,264.4653,2020-02-28 09:51:54.520
568567,pilot02,-1073.7915,-964.5386,109.2529,2020-02-28 09:53:50.643
568579,pilot02,-1159.9731,-1000.2441,159.729,2020-02-28 09:55:45.973
568591,pilot02,-1149.9634,-1007.5684,142.395,2020-02-28 09:57:43.463
568605,pilot02,-1171.6919,-1042.5415,129.1504,2020-02-28 09:59:58.877
568617,pilot02,-1117.6758,-875.6104,242.0654,2020-02-28 10:01:54.910
568629,pilot02,-1091.6748,-996.0938,95.581,2020-02-28 10:03:51.837
568641,pilot02,-1235.2295,-1008.9111,226.3184,2020-02-28 10:05:59.340
568653,pilot02,-1136.3525,-1004.2725,132.08,2020-02-28 10:07:57.400
568665,pilot02,-1197.0215,-1028.7476,168.2739,2020-02-28 10:09:53.847
568677,pilot02,-1213.0127,-973.8159,239.1968,2020-02-28 10:11:49.440
568689,pilot02,-1141.7236,-1018.6157,123.1079,2020-02-28 10:13:45.133
568701,pilot02,-1123.0469,-958.1299,164.917,2020-02-28 10:15:42.150
568713,pilot02,-1157.8979,-1012.3901,145.5078,2020-02-28 10:17:40.770
568727,pilot02,-1162.9639,-1052.1851,110.7788,2020-02-28 10:19:58.277
568739,pilot02,-1093.0176,-1012.6953,80.3222999999999,2020-02-28 10:21:56.490
568749,pilot02,-1141.7236,-943.3594,198.3642,2020-02-28 10:23:43.053
568761,pilot02,-1082.1533,-1005.3101,76.8431999999999,2020-02-28 10:25:42.777
568776,pilot02,-1107.9102,-1008.667,99.2432,2020-02-28 10:27:58.803
568788,pilot02,-1195.6177,-1000.4272,195.1905,2020-02-28 10:29:54.197
568799,pilot02,-1109.436,-1019.7754,89.6605999999999,2020-02-28 10:31:51.400
568812,pilot02,-1151.3672,-978.8818,172.4854,2020-02-28 10:33:49.220
568824,pilot02,-1119.751,-1050.415,69.336,2020-02-28 10:35:49.363
568836,pilot02,-1173.7671,-1031.4941,142.273,2020-02-28 10:37:44.687
568850,pilot02,-1075.0122,-1018.3716,56.6405999999999,2020-02-28 10:39:59.567
568862,pilot02,-1089.2944,-990.7227,98.5717,2020-02-28 10:41:59.130
568874,pilot02,-1106.8115,-967.4683,139.3432,2020-02-28 10:43:53.833
568886,pilot02,-1141.0522,-1012.7563,128.2959,2020-02-28 10:45:50.187
568898,pilot02,-1223.5107,-979.7363,243.7744,2020-02-28 10:47:44.557
568910,pilot02,-1100.647,-1045.4712,55.1758,2020-02-28 10:49:41.823
568924,pilot02,-1113.2813,-901.3672,211.9141,2020-02-28 10:51:55.237
568936,pilot02,-1111.9995,-957.6416,154.3579,2020-02-28 10:53:49.327
